iter	RMSE
483	0.2015780468
484	0.2015533886
485	0.2014659314
486	0.2014378374
487	0.2013937072
488	0.2013481147
489	0.2012761611
490	0.2012319205
491	0.2011707144
492	0.2011276171
493	0.2011094605
494	0.2010900085
495	0.2010577234
496	0.2009930402
497	0.200960632
498	0.2008891055
499	0.2008440886
500	0.2008192766
501	0.2007740925
502	0.2007268399
503	0.200670212
504	0.2006348308
505	0.2006155348
506	0.200581694
507	0.2005480875
508	0.2004799399
509	0.2004553532
510	0.2004297721
511	0.2003842577
512	0.2003408197
513	0.2003134219
514	0.2002839641
515	0.2002516483
516	0.2002133813
517	0.200176109
518	0.2001371903
519	0.2000999361
520	0.2000520903
521	0.2000253067
522	0.1999998347
523	0.1999794778
524	0.1999373026
525	0.1999202488
526	0.199899783
527	0.1998705944
528	0.1998425862
529	0.1998306421
530	0.1998139875
531	0.1997861942
532	0.1997314577
533	0.1997078951
534	0.1996743105
535	0.1996568965
536	0.1996248852
537	0.1995831725
538	0.1995294825
539	0.1994987253
540	0.1994658836
541	0.1994135107
542	0.1993714499
543	0.1993286039
544	0.1993013953
545	0.1992810533
546	0.1992497772
547	0.1992348766
548	0.1992089164
549	0.1991864348
550	0.1991474074
551	0.1991214936
552	0.1990512416
553	0.1990226925
554	0.1989882296
555	0.1989640084
556	0.1989276115
557	0.1989020213
558	0.1988781587
559	0.1988153305
560	0.1987726254
561	0.1987181731
562	0.1986811507
563	0.1986405715
564	0.1986140424
565	0.1985856396
566	0.1984950719
567	0.1984751777
568	0.1984619485
569	0.1984391487
570	0.1984040541
571	0.1983892814
572	0.1983652147
573	0.1983473155
574	0.1983258811
575	0.1983016127
576	0.1982669776
577	0.1982240667
578	0.1982038144
579	0.1981815191
580	0.1981414323
581	0.1981234055
582	0.1981095123
583	0.1980911464
584	0.1980730545
585	0.198032992
586	0.198007843
587	0.197992292
588	0.1979723041
589	0.1979552531
590	0.1979220808
591	0.1978792164
592	0.1978352515
593	0.197806522
594	0.197767782
595	0.1977505538
596	0.19771819
597	0.1977000562
598	0.1976808274
599	0.1976519667
600	0.1976220694
601	0.1976078868
602	0.197576202
603	0.1975342541
604	0.1975113666
605	0.197495984
606	0.1974679947
607	0.1974341363
608	0.1974065293
609	0.1973748542
610	0.1973403005
611	0.1972863804
612	0.1972566953
613	0.1972378829
614	0.197180323
615	0.197139475
616	0.1971180982
617	0.1970902251
618	0.1970622794
619	0.1970048675
620	0.196985418
621	0.1969696527
622	0.1969472788
623	0.1969320971
624	0.1968980588
625	0.196879757
626	0.1968673927
627	0.1967786717
628	0.1967342493
629	0.1967060093
630	0.1966583844
631	0.1966040916
632	0.1965727412
633	0.1965511781
634	0.1965260243
635	0.1965091148
636	0.196479636
637	0.1964662786
638	0.1964203902
639	0.1963907281
640	0.1963632691
641	0.1963370741
642	0.196320136
643	0.1963004049
644	0.1962633698
645	0.1962338086
646	0.196213871
647	0.1961938015
648	0.1961598397
649	0.1961147015
650	0.1960847977
651	0.1960586654
652	0.1960421902
653	0.1960164592
654	0.1959726345
655	0.1959463545
656	0.1959212869
657	0.1959056654
658	0.1958824174
659	0.1958657103
660	0.195806992
661	0.1957566417
662	0.1957213718
663	0.19570146
664	0.1956749403
665	0.1956603317
666	0.1956405758
667	0.195625434
668	0.1955954768
669	0.1955673795
670	0.1955231115
671	0.1955004708
672	0.1954667807
673	0.1954398689
674	0.1954060492
675	0.1953861334
676	0.1953640938
677	0.1953474686
678	0.1953338619
679	0.1953121945
680	0.1952925352
681	0.1952733983
682	0.1952448209
683	0.1952116758
684	0.1951696911
685	0.1951349717
686	0.1951237723
687	0.19509706
688	0.1950697088
689	0.1950275235
690	0.1950023917
691	0.1949799844
692	0.1949540163
693	0.1949253993
694	0.1949101415
695	0.1948962826
696	0.1948752565
697	0.1948435682
698	0.1948112969
699	0.1947757952
700	0.1947562434
701	0.1947256866
702	0.1946926934
703	0.1946624479
704	0.1946306994
705	0.1946078275
706	0.1945770626
707	0.1945642643
708	0.1945427321
709	0.1945272805
710	0.194497596
711	0.194463162
712	0.1944362882
713	0.1944073698
714	0.194372878
715	0.1943638074
716	0.1943272132
717	0.1943067307
718	0.1942736148
719	0.1942598283
720	0.1942250246
721	0.19421283
722	0.1941786636
723	0.1941516083
724	0.1941176966
725	0.1940923455
726	0.1940678322
727	0.1940234333
728	0.1939998147
729	0.1939900552
730	0.1939522562
731	0.1939270754
732	0.1938944377
733	0.1938698762
734	0.1938435922
735	0.1937988473
736	0.193778488
737	0.1937397782
738	0.1936986195
739	0.1936656549
740	0.1936477495
741	0.1936050405
742	0.1935756983
743	0.1935522646
744	0.1935134426
745	0.1935028765
746	0.1934768717
747	0.1934669532
748	0.1934232457
749	0.1933969377
750	0.1933683639
751	0.1933430903
752	0.193303662
753	0.1932678166
754	0.1932526356
755	0.1932252875
756	0.1931313097
757	0.1930998937
758	0.1930729931
759	0.1930487281
760	0.1930225917
761	0.1930098718
762	0.1929883785
763	0.1929698006
764	0.1929492757
765	0.1929131148
766	0.1928861304
767	0.1928588063
768	0.1928373017
769	0.192821929
770	0.1927986728
771	0.1927654436
772	0.1927316391
773	0.1927121461
774	0.1926788211
775	0.1926560503
776	0.1926281144
777	0.1925861713
778	0.1925630867
779	0.1925202266
780	0.192501603
781	0.1924770428
782	0.1924608608
783	0.1924467
784	0.1924255634
785	0.1924023933
786	0.1923891328
787	0.1923735708
788	0.1923506155
789	0.1923263747
790	0.1923028898
791	0.1922774457
792	0.1922645473
793	0.1922442238
794	0.1922347271
795	0.1922044716
796	0.1921824539
797	0.192167143
798	0.1921515603
799	0.1921147615
800	0.1920728598
801	0.1920516288
802	0.1920396361
803	0.1920065778
804	0.1919924306
805	0.1919753263
806	0.1919624439
807	0.1919278953
808	0.1919020989
809	0.191876381
810	0.1918568281
811	0.1918344755
812	0.1918145777
813	0.1917925085
814	0.1917714671
815	0.1917416367
816	0.1917282097
817	0.191709768
818	0.1916812031
819	0.1916643025
820	0.1916401602
821	0.1916261334
822	0.191600575
823	0.1915794627
824	0.1915639333
825	0.1915478301
826	0.1915202918
827	0.1915070674
828	0.1914793833
829	0.1914525348
830	0.1914392492
831	0.19142644
832	0.1914038629
833	0.1913797312
834	0.1913447148
835	0.1913298036
836	0.1913088863
837	0.1912871327
838	0.1912688114
839	0.1912469031
840	0.1912267006
841	0.191197852
842	0.1911748633
843	0.1911607685
844	0.1911361334
845	0.1911134204
846	0.1910887014
847	0.1910663644
848	0.1910449126
849	0.1910159709
850	0.1909942288
851	0.1909664919
852	0.190947709
853	0.1909284074
854	0.190904112
855	0.1908860949
856	0.1908296948
857	0.1908141834
858	0.1907958546
859	0.1907697185
860	0.1907361084
861	0.190719083
862	0.1906879406
863	0.1906660232
864	0.1906425427
865	0.1906226315
866	0.190595327
867	0.1905775261
868	0.1905618348
869	0.1905497672
870	0.1905235779
871	0.1905021907
872	0.1904871842
873	0.1904754701
874	0.1904445254
875	0.1904278767
876	0.1903782728
877	0.1903573157
878	0.1903228113
879	0.1902834565
880	0.1902572783
881	0.1902464031
882	0.19022228
883	0.19020398
884	0.1901760976
885	0.1901674589
886	0.1901561021
887	0.1901403943
888	0.1901322991
889	0.1901238606
890	0.1901074339
891	0.1900933463
892	0.190066428
893	0.1900414333
894	0.1899936151
895	0.1899736852
896	0.1899535255
897	0.1899342931
898	0.1899174435
899	0.1899033961
900	0.1898853429
901	0.1898660364
902	0.1898366311
903	0.1898139187
904	0.1898002828
905	0.1897809628
906	0.1897729347
907	0.1897473452
908	0.1897221137
909	0.189714752
910	0.1896712144
911	0.1896488514
912	0.1896351905
913	0.1896260682
914	0.1896087919
915	0.1895885182
916	0.1895694812
917	0.1895434055
918	0.1895197592
919	0.1895085957
920	0.1894955645
921	0.1894786985
922	0.1894651771
923	0.1894392144
924	0.1894226963
925	0.1894081865
926	0.18937256
927	0.18934678
928	0.1893304062
929	0.1893171484
930	0.1892798912
931	0.1892687733
932	0.1892480173
933	0.1892137835
934	0.1891950072
935	0.1891797326
936	0.1891331586
937	0.1891191646
938	0.1891072957
939	0.1890791346
940	0.1890588592
941	0.1890451139
942	0.189014552
943	0.189008031
944	0.1889802901
945	0.1889667888
946	0.188953171
947	0.1889221946
948	0.1888965089
949	0.1888843226
950	0.1888560736
951	0.1888363689
952	0.18882956
953	0.1888146883
954	0.1887917141
955	0.1887597393
956	0.1887426974
957	0.1887061048
958	0.1886790388
959	0.1886446765
960	0.188630314
961	0.1886135828
962	0.1886001769
963	0.1885874853
964	0.188574763
965	0.1885632455
966	0.1885478422
967	0.1885392146
968	0.188512377
969	0.1884895266
970	0.1884575431
971	0.1884462691
972	0.1884275425
973	0.1884004991
974	0.1883657737
975	0.1883531689
976	0.1883361731
977	0.1883228896
978	0.1883004377
979	0.1882535228
980	0.1882302789
981	0.1882055956
982	0.1881877957
983	0.188152254
984	0.1881401339
985	0.1881296102
986	0.1880964154
987	0.1880852366
988	0.1880714371
989	0.1880633705
990	0.1880568189
991	0.1880365366
992	0.1880230517
993	0.1879976284
994	0.1879829493
995	0.1879597942
996	0.187937239
997	0.1879127724
998	0.1878920405
999	0.187872592
